,Name,Short,Korean Name,Gender,Debut,Company,Members,Orig Memb,Fanclub Name,Active
0,(G)I-DLE,,(여자)아이들,Female,2/05/2018,Cube,5,6,,Yes
26,AESPA,æspa,에스파,Female,17/11/2020,SM,4,4,My,Yes
45,ATEEZ,,에이티즈,Male,24/10/2018,KQ,8,8,,Yes
66,BLACKPINK,,블랙핑크,Female,8/08/2016,YG,4,4,,Yes
87,BTS,Bangtan Boys,방탄소년단,Male,13/06/2013,Big Hit,7,7,ARMY,Yes
120,DAY6,,데이식스,Male,7/09/2015,JYP,5,6,,Yes
127,DREAMCATCHER,,드림캐쳐,Female,13/01/2017,Happy Face,7,7,,Yes
133,ENHYPEN,,엔하이픈,Male,30/11/2020,Be:lift,7,7,ENGENE,Yes
140,EXO,,엑소,Male,8/04/2012,SM,9,12,EXO-L,Yes
156,GFRIEND,,여자친구,Female,15/01/2015,Source,6,6,Buddy,No
158,GI,Global Icon,지아이,Female,3/04/2013,Simtong,3,5,,No
208,IVE,,아이브,Female,1/12/2021,Starship,6,6,DIVE,Yes
229,LE SSERAFIM,,르세라핌,Female,2/05/2022,Source,5,6,FEARNOT,Yes
234,LOONA,LOOΠΔ,이달의 소녀,Female,20/08/2018,Blockberry,12,12,,Yes
246,MAMAMOO,,마마무,Female,18/06/2014,RBW,4,4,Moomoo,Yes
274,NCT,,엔시티,Male,9/04/2016,SM,23,23,NCTzen,Yes
276,NEWJEANS,NWJNS,뉴진스,Female,22/07/2022,ADOR,5,5,Bunnies,Yes
311,RED VELVET,RV,레드벨벳,Female,1/08/2014,SM,5,4,,Yes
327,SEVENTEEN,SVT,세븐틴,Male,26/05/2015,Pledis,13,13,Carat,Yes
347,STRAY KIDS,SKZ,스트레이 키즈,Male,25/03/2018,JYP,8,9,STAY,Yes
349,SUPER JUNIOR,SJ,슈퍼주니어,Male,6/11/2005,SM,11,12,ELF,Yes
359,THE BOYZ,,더보이즈,Male,31/12/2017,Cre.Ker,11,12,,Yes
371,TREASURE,,트레저,Male,7/08/2020,YG,12,12,,Yes
379,TWICE,,트와이스,Female,20/10/2015,JYP,9,9,Once,Yes
381,TXT,,투모로우바이투게더,Male,4/03/2019,Big Hit,5,5,,Yes
395,VIVIZ,,비비지,Female,9/02/2022,Big Planet Made,3,3,,Yes
411,WINNER,,위너,Male,12/08/2014,YG,4,5,Ace,Yes
417,XDINARY HEROES,,엑스디너리 히어로즈,Male,6/12/2021,JYP,6,6,,Yes
